Pin title,Pin description,Media URL,Board ID,Website URL,Scheduled time,Locked
Strength | Isaiah 40:31,"Renew your strength and rise on wings like eagles. A free printable Bible verse card from Isaiah 40:31. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Strength #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Strength%20%28Isaiah%2040-31%29.png,b_347692102421896103,https://faithcompanionai.com/topics/strength,2027-01-06T20:00:00Z,False
Daily Joy | Psalm 118:24,"This is the day the Lord has made; rejoice in it. A free printable Bible verse card from Psalm 118:24. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #DailyJoy #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Daily%20Joy%20%28Psalm%20118-24%29.png,b_347692102421896101,https://faithcompanionai.com/topics,2027-01-08T20:00:00Z,False
Gratitude | 1 Thessalonians 5:16-18,"Rejoice always, pray continually, give thanks in all things. A free printable Bible verse card from 1 Thessalonians 5:16-18. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Gratitude #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Gratitude%20%281%20Thessalonians%205-16-18%29.png,b_347692102421896107,https://faithcompanionai.com/topics/gratitude,2027-01-10T20:00:00Z,False
Renewal | Romans 12:2,"Be transformed by the renewing of your mind. A free printable Bible verse card from Romans 12:2. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Renewal #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Renewal%20%28Romans%2012-2%29.png,b_347692102421896103,https://faithcompanionai.com/topics,2027-01-12T20:00:00Z,False
Affirmation | Zephaniah 3:17,"The Lord your God is with you, mighty to save. A free printable Bible verse card from Zephaniah 3:17. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Affirmation #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Affirmation%20%28Zephaniah%203-17%29.png,b_347692102421896101,https://faithcompanionai.com/topics,2027-01-14T20:00:00Z,False
Rest | Matthew 11:28,"Come to him, all who are weary, and find rest. A free printable Bible verse card from Matthew 11:28. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Rest #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Rest%20%28Matthew%2011-28%29.png,b_347692102421896107,https://faithcompanionai.com/topics,2027-01-16T20:00:00Z,False
Courage | Joshua 1:9,"Be strong and courageous; the Lord goes with you. A free printable Bible verse card from Joshua 1:9. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Courage #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Courage%20%28Joshua%201-9%29.png,b_347692102421896103,https://faithcompanionai.com/topics/joshua-1-9,2027-01-18T20:00:00Z,False
Trust | Psalm 56:3,"When you are afraid, put your trust in him. A free printable Bible verse card from Psalm 56:3. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Trust #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Trust%20%28Psalm%2056-3%29.png,b_347692102421896101,https://faithcompanionai.com/topics,2027-01-20T20:00:00Z,False
Mindset | Philippians 4:8,"Whatever is true and noble, think on such things. A free printable Bible verse card from Philippians 4:8. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Mindset #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Mindset%20%28Philippians%204-8%29.png,b_347692102421896107,https://faithcompanionai.com/topics,2027-01-22T20:00:00Z,False
Trials | Isaiah 43:2,"When you pass through the waters, he is with you. A free printable Bible verse card from Isaiah 43:2. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Trials #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Trials%20%28Isaiah%2043-2%29.png,b_347692102421896103,https://faithcompanionai.com/topics,2027-01-24T20:00:00Z,False
Comfort | Psalm 34:18,"The Lord is close to the brokenhearted. A free printable Bible verse card from Psalm 34:18. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Comfort #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Comfort%20%28Psalm%2034-18%29.png,b_347692102421896101,https://faithcompanionai.com/topics,2027-01-26T20:00:00Z,False
Peace | John 14:27,"His peace he leaves with you; let not your heart be troubled. A free printable Bible verse card from John 14:27. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Peace #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Peace%20%28John%2014-27%29.png,b_347692102421896107,https://faithcompanionai.com/topics/peace,2027-01-28T20:00:00Z,False
Faith | 2 Corinthians 5:7,"Live by faith, not by sight. A free printable Bible verse card from 2 Corinthians 5:7. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Faith #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Faith%20%282%20Corinthians%205-7%29.png,b_347692102421896103,https://faithcompanionai.com/topics/faith,2027-01-30T20:00:00Z,False
Mercy | Lamentations 3:22-23,"His compassions never fail; they are new every morning. A free printable Bible verse card from Lamentations 3:22-23. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Mercy #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Mercy%20%28Lamentations%203-22-23%29.png,b_347692102421896101,https://faithcompanionai.com/topics,2027-02-01T20:00:00Z,False
Guidance | Proverbs 3:5,"Trust in the Lord with all your heart. A free printable Bible verse card from Proverbs 3:5. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Guidance #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Guidance%20%28Proverbs%203-5%29.png,b_347692102421896107,https://faithcompanionai.com/topics,2027-02-03T20:00:00Z,False
Steadfast | Psalm 16:8,"Keep your eyes on the Lord and you will not be shaken. A free printable Bible verse card from Psalm 16:8. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Steadfast #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Steadfast%20%28Psalm%2016-8%29.png,b_347692102421896103,https://faithcompanionai.com/topics,2027-02-05T20:00:00Z,False
Work | Colossians 3:23,"Whatever you do, work at it with all your heart. A free printable Bible verse card from Colossians 3:23. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Work #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Work%20%28Colossians%203-23%29.png,b_347692102421896101,https://faithcompanionai.com/topics,2027-02-07T20:00:00Z,False
Assurance | Hebrews 11:1,"Faith is confidence in what we hope for. A free printable Bible verse card from Hebrews 11:1. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Assurance #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Assurance%20%28Hebrews%2011-1%29.png,b_347692102421896107,https://faithcompanionai.com/topics,2027-02-09T20:00:00Z,False
Pure Heart | Psalm 51:10,"Create in me a pure heart, O God. A free printable Bible verse card from Psalm 51:10. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #PureHeart #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Pure%20Heart%20%28Psalm%2051-10%29.png,b_347692102421896101,https://faithcompanionai.com/topics,2027-02-11T20:00:00Z,False
Return | Joel 2:13,"Return to the Lord, gracious and compassionate. A free printable Bible verse card from Joel 2:13. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Return #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Return%20%28Joel%202-13%29.png,b_347692102421896107,https://faithcompanionai.com/topics,2027-02-13T20:00:00Z,False
Nearness | James 4:8,"Come near to God and he will come near to you. A free printable Bible verse card from James 4:8. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Nearness #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Nearness%20%28James%204-8%29.png,b_347692102421896103,https://faithcompanionai.com/topics,2027-02-15T20:00:00Z,False
Stillness | Psalm 46:10,"Be still, and know that he is God. A free printable Bible verse card from Psalm 46:10. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Stillness #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Stillness%20%28Psalm%2046-10%29.png,b_347692102421896101,https://faithcompanionai.com/topics,2027-02-17T20:00:00Z,False
Fear Not | Isaiah 41:10,"Do not fear, for he is with you and will strengthen you. A free printable Bible verse card from Isaiah 41:10. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #FearNot #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Fear%20Not%20%28Isaiah%2041-10%29.png,b_347692102421896107,https://faithcompanionai.com/topics/isaiah-41-10,2027-02-19T20:00:00Z,False
Hope | Romans 8:28,"In all things God works for the good of those who love him. A free printable Bible verse card from Romans 8:28. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Hope #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Hope%20%28Romans%208-28%29.png,b_347692102421896103,https://faithcompanionai.com/topics/romans-8-28,2027-02-21T20:00:00Z,False
Provision | Philippians 4:19,"God will meet all your needs according to his riches. A free printable Bible verse card from Philippians 4:19. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Provision #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Provision%20%28Philippians%204-19%29.png,b_347692102421896101,https://faithcompanionai.com/topics,2027-02-23T20:00:00Z,False
Priorities | Matthew 6:33,"Seek first his kingdom and all these things will be given. A free printable Bible verse card from Matthew 6:33. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Priorities #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Priorities%20%28Matthew%206-33%29.png,b_347692102421896107,https://faithcompanionai.com/topics,2027-02-25T20:00:00Z,False
Valley | Psalm 23:4,"Even through the darkest valley, you need fear no evil. A free printable Bible verse card from Psalm 23:4. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Valley #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Valley%20%28Psalm%2023-4%29.png,b_347692102421896101,https://faithcompanionai.com/topics/psalm-23,2027-02-27T20:00:00Z,False
Anxiety | 1 Peter 5:7,"Cast all your anxiety on him, because he cares for you. A free printable Bible verse card from 1 Peter 5:7. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Anxiety #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Anxiety%20%281%20Peter%205-7%29.png,b_347692102421896107,https://faithcompanionai.com/topics/anxiety,2027-03-01T20:00:00Z,False
Shelter | Nahum 1:7,"The Lord is good, a refuge in times of trouble. A free printable Bible verse card from Nahum 1:7. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Shelter #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Shelter%20%28Nahum%201-7%29.png,b_347692102421896103,https://faithcompanionai.com/topics,2027-03-03T20:00:00Z,False
Light | John 8:12,"Follow the light of the world and never walk in darkness. A free printable Bible verse card from John 8:12. Save it, print it, or share it as encouragement today. More at faithcompanionai.com. #BibleVerse #Light #Faith #Scripture #ChristianFaith #DailyDevotion #FreePrintable",https://raw.githubusercontent.com/Tunjilor/pin-images/main/2027-spring/Pin%20-%20Light%20%28John%208-12%29.png,b_347692102421896101,https://faithcompanionai.com/topics,2027-03-05T20:00:00Z,False
